source,target,value
YiffSpot@2.6.0,dotenv@^6.2.0,1
YiffSpot@2.6.0,dotenv-webpack@^1.6.0,1
YiffSpot@2.6.0,extract-text-webpack-plugin@^4.0.0-beta.0,1
YiffSpot@2.6.0,file-loader@^2.0.0,1
YiffSpot@2.6.0,get-urls@^8.0.0,1
YiffSpot@2.6.0,graceful-fs@^4.1.11,1
YiffSpot@2.6.0,html-webpack-plugin@^3.2.0,1
YiffSpot@2.6.0,node-sass@^4.9.3,1
ripsaw@0.1.0,node-sass@^4.9.3,1
YiffSpot@2.6.0,npm-run-all@^4.0.2,1
YiffSpot@2.6.0,path@^0.12.7,1
workshop-project@0.0.1,path@^0.12.7,1
YiffSpot@2.6.0,pug@^2.0.0-rc.4,1
YiffSpot@2.6.0,pug-html-loader@^1.1.5,1
YiffSpot@2.6.0,sass-loader@^7.1.0,1
YiffSpot@2.6.0,slim-select@^1.1.2,1
YiffSpot@2.6.0,style-loader@^0.22.1,1
YiffSpot@2.6.0,webpack@^4.17.1,1
YiffSpot@2.6.0,webpack-cli@^3.1.0,1
YiffSpot@2.6.0,webpack-dev-server@^3.1.5,1
drudge@2.0.0,chokidar@^0.11.1,1
drudge@2.0.0,st@^0.5.2,1
drudge@2.0.0,tiny-lr@^0.1.4,1
expressApp@0.0.0,locus@^0.1.0,1
expressApp@0.0.0,node-inspector@^0.7.4,1
login-system@0.0.0,bcryptjs@^2.1.0,1
gitjk@0.1.14,git-config@0.0.7,1
rfid-sl030@0.1.1,ffi@>=1.2.7,1
rfid-sl030@0.1.1,ref@>=0.3.2,1
rfid-sl030@0.1.1,sleep@>=1.1.8,1
rfid-sl030@0.1.1,ref-struct@>=0.0.6,1
web-starter@0.0.0,brfs@^1.1.2,1
web-starter@0.0.0,browserify@~4.1.7,1
web-starter@0.0.0,catw@~0.2.0,1
web-starter@0.0.0,hyperspace@^1.1.0,1
web-starter@0.0.0,imagesloaded@^3.1.8,1
web-starter@0.0.0,js-yaml@~3.0.2,1
web-starter@0.0.0,resolve-git-remote@~0.1.1,1
facebook-scrape@1.0.0,jsonist@^0.1.1,1
PasswordTracker@0.0.0,sequelize@~1.7.5,1
sequelize-rest-boilerplate@0.1.2,sequelize@~1.7.5,1
PasswordTracker@0.0.0,pg@~3.2.0,1
whyilove@0.0.0,pg@~3.2.0,1
my-feed-reader@1.0.0,co@^3.1.0,1
my-feed-reader@1.0.0,coffee-loader@^0.7.2,1
my-feed-reader@1.0.0,coffee-script@git://github.com/jashkenas/coffeescript,1
my-feed-reader@1.0.0,feedparser@^0.19.2,1
web-reader@null,feedparser@^0.19.2,1
my-feed-reader@1.0.0,gulp-watch@^1.0.7,1
my-feed-reader@1.0.0,gulp-webpack@^0.4.1,1
my-feed-reader@1.0.0,koa@^0.12.2,1
my-feed-reader@1.0.0,koa-route@^2.1.0,1
my-feed-reader@1.0.0,koa-router@^3.4.0,1
my-feed-reader@1.0.0,koa-static@^1.4.7,1
my-feed-reader@1.0.0,opmlparser@^0.7.0,1
protractor-scrape-money@0.0.0,protractor@^1.3.0,1
RobotIcon@1.0.0,keypress@^0.2.1,1
RobotIcon@1.0.0,node-static@^0.7.3,1
RobotIcon@1.0.0,serialport@^1.4.0,1
gulp-s3@0.11.0,knox@,1
gulp-s3@0.11.0,mime@~1.2.11,1
atlas-server@0.0.1,config@~0.4.36,1
atlas-server@0.0.1,rimraf@^2.2.8,1
atlas-server@0.0.1,stylus@~0.46.3,1
ripsaw@0.1.0,babel-cli@^6.18.0,1
ripsaw@0.1.0,babel-preset-es2015@^6.18.0,1
ripsaw@0.1.0,babel-preset-react@^6.16.0,1
observe-plus@3.0.4-beta,asap@^2.0.1,1
observe-plus@3.0.4-beta,nested-property@0.0.6,1
rocket-juggler@1.0.0,ghost-body@1.1.1,1
rocket-juggler@1.0.0,p2@0.6.0,1
rocket-juggler@1.0.0,pie-slice@1.1.0,1
rocket-juggler@1.0.0,vec2@1.6.0,1
grunt-deploy-asset@1.0.0,deploy-asset@^0.1.0,1
cronzitto@1.2.0,growl@^1.8.1,1
cronzitto@1.2.0,pretty-log@^0.1.0,1
cronzitto@1.2.0,beep@git://github.com/raphaelivan/beep.git,1
demoinfogo-viewer@0.0.0,bn.js@4.10.3,1
demoinfogo-viewer@0.0.0,d3@3.5.15,1
demoinfogo-viewer@0.0.0,dat-gui@0.5.0,1
demoinfogo-viewer@0.0.0,protocol-buffers@3.1.5,1
demoinfogo-viewer@0.0.0,three@0.74.0,1
bluth@0.0.3,jsonschema@^1.0.0,1
bluth@0.0.3,protagonist@^1.0.0,1
whyilove@0.0.0,db-migrate@^0.8.0,1
sequelize-rest-boilerplate@0.1.2,db-migrate@^0.8.0,1
whyilove@0.0.0,hjs@~0.0.6,1
whyilove@0.0.0,jsonfile@^2.0.0,1
pandemic@0.0.0,bean@^1.0.14,1
locale-string@1.1.0,country-list@0.0.3,1
locale-string@1.1.0,langs@^1.0.0,1
AngularNode@0.0.1,formidable@*,1
AngularNode@0.0.1,node-fs@*,1
angular-examples@0.0.0,browserify-ngannotate@0.0.8,1
angular-seed@0.1.0,gulp-connect@^2.0.6,1
reveal.js@2.6.2,mustache@~0.7.2,1
Bernie@0.0.1,cas@0.0.3,1
Bernie@0.0.1,grand_master_cas@^0.2.3,1
brush-typescript@4.0.0,brush-base@^4.0.0,1
brush-typescript@4.0.0,syntaxhighlighter-regex@^4.0.0,1
web-reader@null,nedb@^0.11.1,1
taskcluster-treeherder@0.2.0,babel-plugin-array-includes@^2.0.3,1
taskcluster-treeherder@0.2.0,eslint-config-taskcluster@^3.1.0,1
taskcluster-treeherder@0.2.0,slugid@^2.0.0,1
taskcluster-treeherder@0.2.0,taskcluster-client@11.0.3,1
taskcluster-treeherder@0.2.0,taskcluster-lib-docs@^10.0.1,1
taskcluster-treeherder@0.2.0,taskcluster-lib-loader@^10.0.1,1
taskcluster-treeherder@0.2.0,taskcluster-lib-monitor@^10.0.0,1
taskcluster-treeherder@0.2.0,taskcluster-lib-pulse@^11.1.0,1
taskcluster-treeherder@0.2.0,taskcluster-lib-urls@^10.0.0,1
taskcluster-treeherder@0.2.0,taskcluster-lib-validate@^12.0.0,1
taskcluster-treeherder@0.2.0,typed-env-config@^2.0.0,1
closure-ts@0.3.0,@teppeis/doctrine@^3.1.0,1
closure-ts@0.3.0,cli-color@^1.4.0,1
closure-ts@0.3.0,deep-equal@^1.0.0,1
closure-ts@0.3.0,esprima@^4.0.1,1
closure-ts@0.3.0,espurify@^1.0.0,1
closure-ts@0.3.0,estraverse@^4.2.0,1
remote_switch_ios@1.0.0,gulp-sass@^0.7.1,1
ChatApp@1.0.0,gulp-sass@^0.7.1,1
rcsionic@1.0.0,gulp-sass@^0.7.1,1
dojoCMIS@1.0.0,dojo@~1.10.4,1
server@0.0.1,nodemailer@0.6.0,1
mean@0.4.0,nodemailer@0.6.0,1
mean@0.4.0,assetmanager@^1.1.1,1
mean@0.4.0,consolidate@^0.10.0,1
mean@0.4.0,dependable@~0.2.5,1
mean@0.4.0,express-validator@^2.1.1,1
mean@0.4.0,gridfs-stream@^0.5.1,1
mean@0.4.0,grunt-contrib-clean@^0.5.0,1
mean@0.4.0,grunt-contrib-csslint@^0.2.0,1
mean@0.4.0,grunt-contrib-cssmin@^0.9.0,1
mean@0.4.0,grunt-contrib-uglify@^0.4.0,1
mean@0.4.0,load-grunt-tasks@^0.4.0,1
mean@0.4.0,meanio@~0.5.10,1
mean@0.4.0,ms@0.6.2,1
mean@0.4.0,swig@^1.3.2,1
mean@0.4.0,time-grunt@^0.3.1,1
