source,target,value
nodejs-express-socketio-chatroom@1.0.0,mongoose@~3.8.3,1
shakespeare_annotate@0.0.0,mongoose@~3.8.3,1
login-system@0.0.0,mongoose@~3.8.3,1
workshop-project@0.0.1,mongoose@~3.8.3,1
AngularNode@0.0.1,mongoose@~3.8.3,1
server@0.0.1,mongoose@~3.8.3,1
mean@0.4.0,mongoose@~3.8.3,1
mean@0.1.2,connect-mongo@~0.4.0,1
iBeaconNode@0.0.1,connect-mongo@~0.4.0,1
mean@0.4.0,connect-mongo@~0.4.0,1
mean@0.1.2,connect-flash@~0.1.1,1
nodejs-express-socketio-chatroom@1.0.0,connect-flash@~0.1.1,1
jyavu.com@1.0.0,connect-flash@~0.1.1,1
login-system@0.0.0,connect-flash@~0.1.1,1
mean@0.4.0,connect-flash@~0.1.1,1
mean@0.1.2,crypto@0.0.3,1
grunt-optimusjs@0.1.5,crypto@0.0.3,1
mean@0.1.2,passport@~0.1.18,1
app@0.0.0,passport@~0.1.18,1
socket-chat-example@0.0.1,passport@~0.1.18,1
nodejs-express-socketio-chatroom@1.0.0,passport@~0.1.18,1
jyavu.com@1.0.0,passport@~0.1.18,1
login-system@0.0.0,passport@~0.1.18,1
mean@0.4.0,passport@~0.1.18,1
mean@0.1.2,passport-local@~0.1.6,1
app@0.0.0,passport-local@~0.1.6,1
socket-chat-example@0.0.1,passport-local@~0.1.6,1
nodejs-express-socketio-chatroom@1.0.0,passport-local@~0.1.6,1
jyavu.com@1.0.0,passport-local@~0.1.6,1
login-system@0.0.0,passport-local@~0.1.6,1
mean@0.4.0,passport-local@~0.1.6,1
mean@0.1.2,passport-facebook@~1.0.2,1
mean@0.4.0,passport-facebook@~1.0.2,1
mean@0.1.2,passport-twitter@~1.0.2,1
mean@0.4.0,passport-twitter@~1.0.2,1
mean@0.1.2,passport-github@~0.1.5,1
mean@0.4.0,passport-github@~0.1.5,1
mean@0.1.2,passport-google-oauth@~0.1.5,1
mean@0.4.0,passport-google-oauth@~0.1.5,1
mean@0.1.2,passport-linkedin@~0.1.3,1
mean@0.4.0,passport-linkedin@~0.1.3,1
mean@0.1.2,lodash@~2.4.1,1
pavonine@0.0.1,lodash@~2.4.1,1
inturn@1.0.1,lodash@~2.4.1,1
buckets-ds@0.1.0,lodash@~2.4.1,1
home-inventory@0.0.0,lodash@~2.4.1,1
node-error@0.1.0,lodash@~2.4.1,1
linode-env@1.0.0,lodash@~2.4.1,1
playyylist@0.0.0,lodash@~2.4.1,1
task-master@0.0.0,lodash@~2.4.1,1
demoinfogo-viewer@0.0.0,lodash@~2.4.1,1
bluth@0.0.3,lodash@~2.4.1,1
whyilove@0.0.0,lodash@~2.4.1,1
pandemic@0.0.0,lodash@~2.4.1,1
taskcluster-treeherder@0.2.0,lodash@~2.4.1,1
closure-ts@0.3.0,lodash@~2.4.1,1
mean@0.4.0,lodash@~2.4.1,1
mean@0.1.2,view-helpers@~0.1.4,1
mean@0.4.0,view-helpers@~0.1.4,1
mean@0.1.2,mean-logger@0.0.1,1
mean@0.1.2,bower@~1.2.8,1
instygram@0.0.1,bower@~1.2.8,1
socket-chat-example@0.0.1,bower@~1.2.8,1
jyavu.com@1.0.0,bower@~1.2.8,1
angular-uirouter-grunt-seed@0.0.1,bower@~1.2.8,1
mean@0.1.2,grunt@~0.4.2,1
pandemic@0.0.0,grunt@~0.4.2,1
mean@0.1.2,grunt-cli@~0.1.11,1
mean@0.4.0,grunt-cli@~0.1.11,1
mean@0.1.2,grunt-env@~0.4.1,1
pandemic@0.0.0,grunt-env@~0.4.1,1
mean@0.4.0,grunt-env@~0.4.1,1
mean@0.1.2,forever@~0.10.11,1
depot@0.0.1,forever@~0.10.11,1
iBeaconNode@0.0.1,forever@~0.10.11,1
mean@0.4.0,forever@~0.10.11,1
mean@0.1.2,karma-script-launcher@~0.1.0,1
mean@0.1.2,karma-chrome-launcher@~0.1.2,1
mean@0.1.2,karma-firefox-launcher@~0.1.3,1
mean@0.1.2,karma-html2js-preprocessor@~0.1.0,1
mean@0.1.2,karma-jasmine@~0.1.5,1
angular-seed@0.1.0,karma-jasmine@~0.1.5,1
mean@0.1.2,karma-requirejs@~0.1.0,1
mean@0.1.2,should@2.1.1,1
